kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt,min_llvm_mlir
matmul 4x48x32xf64,44606,,,7014,,44606
matmul 4x48x36xf64,50145,,,7898,,50145
matmul 4x48x40xf64,55696,,,8731,,55696
matmul 4x48x44xf64,61240,,,9614,,61240
matmul 4x48x48xf64,66796,,,10458,,66796
matmul 4x48x4xf64,5762,,,1030,,5762
matmul 4x48x52xf64,72346,,,11298,,72346
matmul 4x48x56xf64,77885,,,12158,,77885
matmul 4x48x60xf64,83434,,,12986,,83434
matmul 4x48x64xf64,88980,,,13865,,88980
matmul 4x48x8xf64,11266,,,1878,,11266
matmul 4x4x12xf64,1106,,,488,,1106
matmul 4x4x16xf64,1468,,,597,,1468
matmul 4x4x20xf64,1804,,,701,,1804
matmul 4x4x24xf64,2145,,,810,,2145
matmul 4x4x28xf64,2486,,,919,,2486
matmul 4x4x32xf64,2832,,,1032,,2832
matmul 4x4x36xf64,3168,,,1137,,3168
matmul 4x4x40xf64,3509,,,1246,,3509
matmul 4x4x44xf64,3850,,,1350,,3850
matmul 4x4x48xf64,4191,,,1459,,4191
matmul 4x4x4xf64,427,,,264,,427
matmul 4x4x52xf64,4527,,,1568,,4527
matmul 4x4x56xf64,4868,,,1677,,4868
matmul 4x4x60xf64,5202,,,1776,,5202
matmul 4x4x64xf64,5543,,,1893,,5543
matmul 4x4x8xf64,514,,,384,,514
matmul 4x52x12xf64,18126,,,2962,,18126
matmul 4x52x16xf64,24213,,,3871,,24213
matmul 4x52x20xf64,30213,,,4793,,30213
matmul 4x52x24xf64,36205,,,5728,,36205
matmul 4x52x28xf64,42209,,,6633,,42209
matmul 4x52x32xf64,48196,,,7568,,48196
matmul 4x52x36xf64,54205,,,8507,,54205
matmul 4x52x40xf64,60203,,,9416,,60203
matmul 4x52x44xf64,66195,,,10371,,66195
matmul 4x52x48xf64,72199,,,11280,,72199
matmul 4x52x4xf64,6211,,,1102,,6211
matmul 4x52x52xf64,78191,,,12195,,78191
matmul 4x52x56xf64,84195,,,13120,,84195
matmul 4x52x60xf64,90187,,,14026,,90187
