kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 8x32x40xf64,0.15,,0.96,,
matmul 8x32x44xf64,0.15,,0.95,,
matmul 8x32x48xf64,0.15,,0.96,,
matmul 8x32x4xf64,0.15,,0.90,,
matmul 8x32x52xf64,0.15,,0.96,,
matmul 8x32x56xf64,0.15,,0.96,,
matmul 8x32x60xf64,0.15,,0.96,,
matmul 8x32x64xf64,0.15,,0.96,,
matmul 8x32x8xf64,0.15,,0.92,,
matmul 8x36x12xf64,0.14,,0.93,,
matmul 8x36x16xf64,0.14,,0.94,,
matmul 8x36x20xf64,0.14,,0.95,,
matmul 8x36x24xf64,0.14,,0.95,,
matmul 8x36x28xf64,0.14,,0.95,,
matmul 8x36x32xf64,0.14,,0.95,,
matmul 8x36x36xf64,0.14,,0.95,,
matmul 8x36x40xf64,0.14,,0.96,,
matmul 8x36x44xf64,0.14,,0.95,,
matmul 8x36x48xf64,0.14,,0.96,,
matmul 8x36x4xf64,0.14,,0.89,,
matmul 8x36x52xf64,0.14,,0.96,,
matmul 8x36x56xf64,0.14,,0.96,,
matmul 8x36x60xf64,0.14,,0.96,,
matmul 8x36x64xf64,0.14,,0.96,,
matmul 8x36x8xf64,0.14,,0.92,,
matmul 8x40x12xf64,0.14,,0.94,,
matmul 8x40x16xf64,0.14,,0.94,,
matmul 8x40x20xf64,0.14,,0.95,,
matmul 8x40x24xf64,0.14,,0.95,,
matmul 8x40x28xf64,0.14,,0.95,,
matmul 8x40x32xf64,0.14,,0.96,,
matmul 8x40x36xf64,0.14,,0.95,,
matmul 8x40x40xf64,0.14,,0.96,,
matmul 8x40x44xf64,0.14,,0.96,,
matmul 8x40x48xf64,0.14,,0.96,,
matmul 8x40x4xf64,0.14,,0.90,,
matmul 8x40x52xf64,0.14,,0.96,,
matmul 8x40x56xf64,0.14,,0.96,,
matmul 8x40x60xf64,0.14,,0.96,,
matmul 8x40x64xf64,0.14,,0.96,,
matmul 8x40x8xf64,0.14,,0.93,,
matmul 8x44x12xf64,0.14,,0.94,,
matmul 8x44x16xf64,0.14,,0.95,,
matmul 8x44x20xf64,0.14,,0.95,,
matmul 8x44x24xf64,0.14,,0.95,,
matmul 8x44x28xf64,0.14,,0.96,,
matmul 8x44x32xf64,0.14,,0.96,,
matmul 8x44x36xf64,0.14,,0.96,,
matmul 8x44x40xf64,0.14,,0.96,,
matmul 8x44x44xf64,0.14,,0.96,,
matmul 8x44x48xf64,0.14,,0.96,,
matmul 8x44x4xf64,0.14,,0.91,,
matmul 8x44x52xf64,0.14,,0.96,,
matmul 8x44x56xf64,0.14,,0.96,,
matmul 8x44x60xf64,0.14,,0.96,,
matmul 8x44x64xf64,0.14,,0.96,,
matmul 8x44x8xf64,0.14,,0.93,,
matmul 8x48x12xf64,0.14,,0.94,,
matmul 8x48x16xf64,0.14,,0.95,,
matmul 8x48x20xf64,0.14,,0.95,,
matmul 8x48x24xf64,0.14,,0.96,,
matmul 8x48x28xf64,0.14,,0.96,,
matmul 8x48x32xf64,0.14,,0.96,,
matmul 8x48x36xf64,0.14,,0.96,,
matmul 8x48x40xf64,0.14,,0.96,,
matmul 8x48x44xf64,0.14,,0.96,,
matmul 8x48x48xf64,0.14,,0.96,,
matmul 8x48x4xf64,0.14,,0.91,,
matmul 8x48x52xf64,0.14,,0.96,,
matmul 8x48x56xf64,0.14,,0.96,,
matmul 8x48x60xf64,0.14,,0.96,,
matmul 8x48x64xf64,0.14,,0.96,,
matmul 8x48x8xf64,0.14,,0.93,,
matmul 8x4x12xf64,0.20,,0.78,,
matmul 8x4x16xf64,0.18,,0.81,,
matmul 8x4x20xf64,0.19,,0.83,,
matmul 8x4x24xf64,0.19,,0.85,,
matmul 8x4x28xf64,0.19,,0.86,,
matmul 8x4x32xf64,0.19,,0.86,,
matmul 8x4x36xf64,0.19,,0.87,,
matmul 8x4x40xf64,0.19,,0.88,,
matmul 8x4x44xf64,0.19,,0.88,,
matmul 8x4x48xf64,0.19,,0.88,,
matmul 8x4x4xf64,0.20,,0.64,,
matmul 8x4x52xf64,0.19,,0.89,,
matmul 8x4x56xf64,0.19,,0.89,,
matmul 8x4x60xf64,0.19,,0.89,,
matmul 8x4x64xf64,0.19,,0.89,,
matmul 8x4x8xf64,0.19,,0.73,,
matmul 8x52x12xf64,0.14,,0.94,,
matmul 8x52x16xf64,0.14,,0.95,,
matmul 8x52x20xf64,0.14,,0.95,,
matmul 8x52x24xf64,0.14,,0.95,,
matmul 8x52x28xf64,0.14,,0.96,,
matmul 8x52x32xf64,0.14,,0.96,,
matmul 8x52x36xf64,0.14,,0.96,,
matmul 8x52x40xf64,0.14,,0.96,,
matmul 8x52x44xf64,0.14,,0.96,,
matmul 8x52x48xf64,0.14,,0.96,,
matmul 8x52x4xf64,0.14,,0.92,,
matmul 8x52x52xf64,0.14,,0.96,,
matmul 8x52x56xf64,0.14,,0.96,,
matmul 8x52x60xf64,0.14,,0.96,,
matmul 8x52x64xf64,0.14,,0.96,,
matmul 8x52x8xf64,0.14,,0.94,,
matmul 8x56x12xf64,0.14,,0.95,,
matmul 8x56x16xf64,0.14,,0.95,,
matmul 8x56x20xf64,0.14,,0.95,,
matmul 8x56x24xf64,0.14,,0.96,,
matmul 8x56x28xf64,0.14,,0.96,,
matmul 8x56x32xf64,0.14,,0.96,,
matmul 8x56x36xf64,0.14,,0.96,,
matmul 8x56x40xf64,0.14,,0.96,,
matmul 8x56x44xf64,0.14,,0.96,,
matmul 8x56x48xf64,0.14,,0.96,,
matmul 8x56x4xf64,0.14,,0.92,,
matmul 8x56x52xf64,0.14,,0.96,,
matmul 8x56x56xf64,0.14,,0.96,,
matmul 8x56x60xf64,0.14,,0.96,,
matmul 8x56x64xf64,0.14,,0.96,,
matmul 8x56x8xf64,0.14,,0.94,,
matmul 8x60x12xf64,0.14,,0.95,,
matmul 8x60x16xf64,0.14,,0.95,,
matmul 8x60x20xf64,0.14,,0.96,,
matmul 8x60x24xf64,0.14,,0.96,,
matmul 8x60x28xf64,0.14,,0.96,,
matmul 8x60x32xf64,0.14,,0.96,,
matmul 8x60x36xf64,0.14,,0.96,,
matmul 8x60x40xf64,0.14,,0.96,,
matmul 8x60x44xf64,0.14,,0.96,,
matmul 8x60x48xf64,0.14,,0.96,,
matmul 8x60x4xf64,0.14,,0.92,,
matmul 8x60x52xf64,0.14,,0.96,,
matmul 8x60x56xf64,0.14,,0.96,,
matmul 8x60x60xf64,0.14,,0.96,,
matmul 8x60x64xf64,0.14,,0.96,,
matmul 8x60x8xf64,0.14,,0.94,,
matmul 8x64x12xf64,0.14,,0.95,,
matmul 8x64x16xf64,0.14,,0.96,,
matmul 8x64x20xf64,0.14,,0.96,,
matmul 8x64x24xf64,0.14,,0.96,,
matmul 8x64x28xf64,0.14,,0.96,,
matmul 8x64x32xf64,0.14,,0.96,,
matmul 8x64x36xf64,0.14,,0.96,,
matmul 8x64x40xf64,0.14,,0.96,,
matmul 8x64x44xf64,0.14,,0.96,,
matmul 8x64x48xf64,0.14,,0.96,,
matmul 8x64x4xf64,0.14,,0.93,,
matmul 8x64x52xf64,0.14,,0.96,,
matmul 8x64x56xf64,0.14,,0.96,,
matmul 8x64x60xf64,0.14,,0.96,,
matmul 8x64x64xf64,0.14,,0.96,,
matmul 8x64x8xf64,0.14,,0.94,,
matmul 8x8x12xf64,0.20,,0.85,,
matmul 8x8x16xf64,0.20,,0.87,,
matmul 8x8x20xf64,0.21,,0.89,,
matmul 8x8x24xf64,0.21,,0.90,,
matmul 8x8x28xf64,0.21,,0.91,,
matmul 8x8x32xf64,0.21,,0.90,,
matmul 8x8x36xf64,0.21,,0.91,,
matmul 8x8x40xf64,0.21,,0.92,,
matmul 8x8x44xf64,0.21,,0.91,,
matmul 8x8x48xf64,0.21,,0.92,,
matmul 8x8x4xf64,0.19,,0.74,,
matmul 8x8x52xf64,0.21,,0.92,,
matmul 8x8x56xf64,0.21,,0.93,,
matmul 8x8x60xf64,0.21,,0.93,,
matmul 8x8x64xf64,0.21,,0.92,,
matmul 8x8x8xf64,0.20,,0.82,,
pooling_nchw_max_d1_s2_3x3 12x12xf64,0.33,,0.70,,
pooling_nchw_max_d1_s2_3x3 12x16xf64,0.33,,0.76,,
pooling_nchw_max_d1_s2_3x3 12x4xf64,0.38,,0.85,,
pooling_nchw_max_d1_s2_3x3 12x8xf64,0.33,,0.61,,
pooling_nchw_max_d1_s2_3x3 16x12xf64,0.33,,0.70,,
pooling_nchw_max_d1_s2_3x3 16x16xf64,0.33,,0.76,,
pooling_nchw_max_d1_s2_3x3 16x4xf64,0.38,,0.89,,
