kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 1x4x52xf64,0.60,,0.90,,
matmul 1x4x56xf64,0.60,,0.91,,
matmul 1x4x60xf64,0.60,,0.92,,
matmul 1x4x64xf64,0.60,,0.93,,
matmul 1x4x8xf64,0.43,,0.65,,
matmul 1x52x12xf64,0.96,,0.91,,
matmul 1x52x16xf64,0.96,,0.93,,
matmul 1x52x20xf64,0.99,,0.96,,
matmul 1x52x24xf64,1.00,,0.97,,
matmul 1x52x28xf64,1.00,,0.97,,
matmul 1x52x32xf64,1.00,,0.97,,
matmul 1x52x36xf64,1.00,,0.98,,
matmul 1x52x40xf64,1.00,,0.98,,
matmul 1x52x44xf64,1.00,,0.98,,
matmul 1x52x48xf64,1.00,,0.98,,
matmul 1x52x4xf64,0.94,,0.78,,
matmul 1x52x52xf64,1.00,,0.98,,
matmul 1x52x56xf64,1.00,,0.99,,
matmul 1x52x60xf64,1.00,,0.99,,
matmul 1x52x64xf64,1.00,,0.99,,
matmul 1x52x8xf64,0.96,,0.87,,
matmul 1x56x12xf64,0.96,,0.92,,
matmul 1x56x16xf64,0.97,,0.94,,
matmul 1x56x20xf64,0.99,,0.96,,
matmul 1x56x24xf64,1.00,,0.97,,
matmul 1x56x28xf64,1.00,,0.97,,
matmul 1x56x32xf64,1.00,,0.97,,
matmul 1x56x36xf64,1.00,,0.98,,
matmul 1x56x40xf64,1.00,,0.98,,
matmul 1x56x44xf64,1.00,,0.98,,
matmul 1x56x48xf64,1.00,,0.98,,
matmul 1x56x4xf64,0.94,,0.79,,
matmul 1x56x52xf64,1.00,,0.99,,
matmul 1x56x56xf64,1.00,,0.99,,
matmul 1x56x60xf64,1.00,,0.99,,
matmul 1x56x64xf64,1.00,,0.99,,
matmul 1x56x8xf64,0.96,,0.87,,
matmul 1x60x12xf64,0.96,,0.92,,
matmul 1x60x16xf64,0.97,,0.94,,
matmul 1x60x20xf64,0.99,,0.96,,
matmul 1x60x24xf64,1.00,,0.97,,
matmul 1x60x28xf64,1.00,,0.97,,
matmul 1x60x32xf64,1.00,,0.98,,
matmul 1x60x36xf64,1.00,,0.98,,
matmul 1x60x40xf64,1.00,,0.98,,
matmul 1x60x44xf64,1.00,,0.98,,
matmul 1x60x48xf64,1.00,,0.99,,
matmul 1x60x4xf64,0.95,,0.80,,
matmul 1x60x52xf64,1.00,,0.99,,
matmul 1x60x56xf64,1.00,,0.99,,
matmul 1x60x60xf64,1.00,,0.99,,
matmul 1x60x64xf64,1.00,,0.99,,
matmul 1x60x8xf64,0.96,,0.89,,
matmul 1x64x12xf64,0.97,,0.93,,
matmul 1x64x16xf64,0.97,,0.94,,
matmul 1x64x20xf64,0.99,,0.97,,
matmul 1x64x24xf64,1.00,,0.97,,
matmul 1x64x28xf64,1.00,,0.97,,
matmul 1x64x32xf64,1.00,,0.98,,
matmul 1x64x36xf64,1.00,,0.98,,
matmul 1x64x40xf64,1.00,,0.98,,
matmul 1x64x44xf64,1.00,,0.98,,
matmul 1x64x48xf64,1.00,,0.99,,
matmul 1x64x4xf64,0.95,,0.82,,
matmul 1x64x52xf64,1.00,,0.99,,
matmul 1x64x56xf64,1.00,,0.99,,
matmul 1x64x60xf64,1.00,,0.99,,
matmul 1x64x64xf64,1.00,,0.99,,
matmul 1x64x8xf64,0.97,,0.89,,
matmul 1x8x12xf64,0.53,,0.79,,
matmul 1x8x16xf64,0.53,,0.76,,
matmul 1x8x20xf64,0.53,,0.84,,
matmul 1x8x24xf64,0.54,,0.88,,
matmul 1x8x28xf64,0.54,,0.88,,
matmul 1x8x32xf64,0.54,,0.90,,
matmul 1x8x36xf64,0.55,,0.91,,
matmul 1x8x40xf64,0.55,,0.90,,
matmul 1x8x44xf64,0.55,,0.90,,
matmul 1x8x48xf64,0.55,,0.91,,
