kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 1x48x4xf64,1394,,241,,
matmul 1x48x52xf64,17962,,2686,,
matmul 1x48x56xf64,19342,,2877,,
matmul 1x48x60xf64,20722,,3089,,
matmul 1x48x64xf64,22102,,3292,,
matmul 1x48x8xf64,2788,,464,,
matmul 1x4x12xf64,322,,128,,
matmul 1x4x16xf64,422,,158,,
matmul 1x4x20xf64,522,,182,,
matmul 1x4x24xf64,622,,214,,
matmul 1x4x28xf64,716,,250,,
matmul 1x4x32xf64,823,,273,,
matmul 1x4x36xf64,923,,293,,
matmul 1x4x40xf64,1023,,314,,
matmul 1x4x44xf64,1123,,351,,
matmul 1x4x48xf64,1223,,369,,
matmul 1x4x4xf64,121,,65,,
matmul 1x4x52xf64,1323,,403,,
matmul 1x4x56xf64,1423,,420,,
matmul 1x4x60xf64,1523,,445,,
matmul 1x4x64xf64,1621,,475,,
matmul 1x4x8xf64,213,,106,,
matmul 1x52x12xf64,4510,,716,,
matmul 1x52x16xf64,6014,,947,,
matmul 1x52x20xf64,7482,,1159,,
matmul 1x52x24xf64,8974,,1374,,
matmul 1x52x28xf64,10466,,1596,,
matmul 1x52x32xf64,11958,,1804,,
matmul 1x52x36xf64,13450,,2025,,
matmul 1x52x40xf64,14942,,2242,,
matmul 1x52x44xf64,16434,,2459,,
matmul 1x52x48xf64,17926,,2677,,
matmul 1x52x4xf64,1523,,262,,
matmul 1x52x52xf64,19418,,2894,,
matmul 1x52x56xf64,20910,,3101,,
matmul 1x52x60xf64,22402,,3329,,
matmul 1x52x64xf64,23894,,3548,,
matmul 1x52x8xf64,3012,,496,,
matmul 1x56x12xf64,4846,,764,,
matmul 1x56x16xf64,6462,,1011,,
matmul 1x56x20xf64,8042,,1239,,
matmul 1x56x24xf64,9646,,1472,,
matmul 1x56x28xf64,11250,,1708,,
matmul 1x56x32xf64,12854,,1932,,
matmul 1x56x36xf64,14458,,2169,,
matmul 1x56x40xf64,16062,,2402,,
matmul 1x56x44xf64,17666,,2634,,
matmul 1x56x48xf64,19270,,2869,,
matmul 1x56x4xf64,1635,,278,,
matmul 1x56x52xf64,20874,,3102,,
matmul 1x56x56xf64,22478,,3324,,
matmul 1x56x60xf64,24082,,3569,,
matmul 1x56x64xf64,25686,,3804,,
matmul 1x56x8xf64,3236,,528,,
matmul 1x60x12xf64,5182,,812,,
matmul 1x60x16xf64,6910,,1060,,
matmul 1x60x20xf64,8602,,1319,,
matmul 1x60x24xf64,10318,,1568,,
matmul 1x60x28xf64,12034,,1820,,
matmul 1x60x32xf64,13750,,2060,,
matmul 1x60x36xf64,15466,,2313,,
matmul 1x60x40xf64,17182,,2562,,
matmul 1x60x44xf64,18898,,2810,,
matmul 1x60x48xf64,20614,,3061,,
matmul 1x60x4xf64,1747,,294,,
matmul 1x60x52xf64,22330,,3310,,
matmul 1x60x56xf64,24046,,3549,,
matmul 1x60x60xf64,25762,,3809,,
matmul 1x60x64xf64,27478,,4060,,
matmul 1x60x8xf64,3462,,575,,
matmul 1x64x12xf64,5518,,860,,
matmul 1x64x16xf64,7358,,1124,,
matmul 1x64x20xf64,9162,,1399,,
matmul 1x64x24xf64,10990,,1662,,
matmul 1x64x28xf64,12818,,1932,,
matmul 1x64x32xf64,14646,,2188,,
matmul 1x64x36xf64,16474,,2457,,
matmul 1x64x40xf64,18302,,2715,,
matmul 1x64x44xf64,20130,,2986,,
matmul 1x64x48xf64,21958,,3253,,
matmul 1x64x4xf64,1859,,316,,
matmul 1x64x52xf64,23786,,3518,,
matmul 1x64x56xf64,25614,,3772,,
matmul 1x64x60xf64,27442,,4049,,
matmul 1x64x64xf64,29270,,4322,,
matmul 1x64x8xf64,3686,,592,,
matmul 1x8x12xf64,567,,176,,
matmul 1x8x16xf64,755,,222,,
matmul 1x8x20xf64,935,,262,,
matmul 1x8x24xf64,1130,,310,,
matmul 1x8x28xf64,1312,,353,,
matmul 1x8x32xf64,1495,,395,,
matmul 1x8x36xf64,1679,,440,,
matmul 1x8x40xf64,1863,,482,,
matmul 1x8x44xf64,2047,,522,,
matmul 1x8x48xf64,2231,,565,,
matmul 1x8x4xf64,202,,81,,
matmul 1x8x52xf64,2415,,608,,
matmul 1x8x56xf64,2599,,637,,
matmul 1x8x60xf64,2783,,689,,
matmul 1x8x64xf64,2972,,732,,
matmul 1x8x8xf64,381,,138,,
matmul 4x12x12xf64,3277,,755,,
matmul 4x12x16xf64,4344,,1004,,
matmul 4x12x20xf64,5423,,1220,,
matmul 4x12x24xf64,6495,,1445,,
matmul 4x12x28xf64,7567,,1668,,
matmul 4x12x32xf64,8641,,1926,,
matmul 4x12x36xf64,9713,,2133,,
matmul 4x12x40xf64,10786,,2373,,
matmul 4x12x44xf64,11852,,2622,,
matmul 4x12x48xf64,12924,,2821,,
matmul 4x12x4xf64,1088,,290,,
matmul 4x12x52xf64,13996,,3086,,
matmul 4x12x56xf64,15068,,3268,,
matmul 4x12x60xf64,16140,,3509,,
matmul 4x12x64xf64,17212,,3782,,
matmul 4x12x8xf64,2200,,540,,
matmul 4x16x12xf64,4288,,947,,
matmul 4x16x16xf64,5696,,1260,,
matmul 4x16x20xf64,7104,,1541,,
matmul 4x16x24xf64,8520,,1829,,
matmul 4x16x28xf64,9928,,2116,,
matmul 4x16x32xf64,11329,,2437,,
matmul 4x16x36xf64,12743,,2709,,
matmul 4x16x40xf64,14159,,3013,,
matmul 4x16x44xf64,15568,,3326,,
matmul 4x16x48xf64,16976,,3589,,
matmul 4x16x4xf64,1424,,354,,
matmul 4x16x52xf64,18379,,3918,,
matmul 4x16x56xf64,19787,,4164,,
matmul 4x16x60xf64,21195,,4475,,
matmul 4x16x64xf64,22605,,4805,,
matmul 4x16x8xf64,2880,,668,,
matmul 4x20x12xf64,5342,,1139,,
matmul 4x20x16xf64,7102,,1510,,
matmul 4x20x20xf64,8825,,1861,,
matmul 4x20x24xf64,10574,,2213,,
matmul 4x20x28xf64,12331,,2564,,
matmul 4x20x32xf64,14092,,2950,,
matmul 4x20x36xf64,15843,,3285,,
matmul 4x20x40xf64,17578,,3653,,
matmul 4x20x44xf64,19330,,4030,,
matmul 4x20x48xf64,21074,,4357,,
matmul 4x20x4xf64,1852,,418,,
matmul 4x20x52xf64,22895,,4750,,
matmul 4x20x56xf64,24639,,5060,,
matmul 4x20x60xf64,26383,,5429,,
matmul 4x20x64xf64,28147,,5830,,
matmul 4x20x8xf64,3598,,796,,
matmul 4x24x12xf64,6405,,1333,,
matmul 4x24x16xf64,8490,,1766,,
matmul 4x24x20xf64,10570,,2181,,
matmul 4x24x24xf64,12726,,2603,,
matmul 4x24x28xf64,14800,,3019,,
matmul 4x24x32xf64,16809,,3462,,
matmul 4x24x36xf64,19069,,3861,,
matmul 4x24x40xf64,22109,,4293,,
matmul 4x24x44xf64,23509,,4734,,
matmul 4x24x48xf64,25628,,5125,,
matmul 4x24x4xf64,2229,,482,,
matmul 4x24x52xf64,28804,,5582,,
matmul 4x24x56xf64,30995,,5956,,
matmul 4x24x60xf64,33187,,6395,,
matmul 4x24x64xf64,36914,,6853,,
matmul 4x24x8xf64,4325,,924,,
matmul 4x28x12xf64,7498,,1525,,
matmul 4x28x16xf64,9914,,2022,,
matmul 4x28x20xf64,12845,,2501,,
matmul 4x28x24xf64,15357,,2981,,
matmul 4x28x28xf64,17874,,3460,,
matmul 4x28x32xf64,21742,,3974,,
matmul 4x28x36xf64,24439,,4437,,
matmul 4x28x40xf64,26559,,4933,,
matmul 4x28x44xf64,30074,,5438,,
matmul 4x28x48xf64,32784,,5893,,
matmul 4x28x4xf64,2661,,546,,
matmul 4x28x52xf64,37580,,6414,,
matmul 4x28x56xf64,40444,,6852,,
matmul 4x28x60xf64,43776,,7349,,
matmul 4x28x64xf64,46207,,7878,,
matmul 4x28x8xf64,5082,,1052,,
matmul 4x32x12xf64,10822,,1723,,
matmul 4x32x16xf64,14581,,2277,,
matmul 4x32x20xf64,17480,,2827,,
matmul 4x32x24xf64,20955,,3365,,
matmul 4x32x28xf64,24448,,3908,,
matmul 4x32x32xf64,27936,,4485,,
matmul 4x32x36xf64,31411,,5013,,
matmul 4x32x40xf64,34908,,5573,,
matmul 4x32x44xf64,38413,,6142,,
matmul 4x32x48xf64,41897,,6667,,
matmul 4x32x4xf64,3302,,608,,
matmul 4x32x52xf64,45385,,7246,,
matmul 4x32x56xf64,48869,,7748,,
matmul 4x32x60xf64,52357,,8315,,
matmul 4x32x64xf64,55841,,8901,,
matmul 4x32x8xf64,7141,,1172,,
matmul 4x36x12xf64,12455,,1909,,
matmul 4x36x16xf64,16678,,2534,,
matmul 4x36x20xf64,20955,,3147,,
matmul 4x36x24xf64,25131,,3749,,
matmul 4x36x28xf64,29307,,4356,,
matmul 4x36x32xf64,33483,,4998,,
matmul 4x36x36xf64,37653,,5596,,
matmul 4x36x40xf64,41835,,6213,,
matmul 4x36x44xf64,46011,,6846,,
matmul 4x36x48xf64,50187,,7429,,
matmul 4x36x4xf64,4120,,672,,
matmul 4x36x52xf64,54363,,8078,,
matmul 4x36x56xf64,58539,,8644,,
matmul 4x36x60xf64,62715,,9269,,
matmul 4x36x64xf64,66891,,9926,,
matmul 4x36x8xf64,8352,,1302,,
matmul 4x40x12xf64,13799,,2101,,
matmul 4x40x16xf64,18470,,2790,,
matmul 4x40x20xf64,23195,,3461,,
matmul 4x40x24xf64,27819,,4133,,
matmul 4x40x28xf64,32443,,4811,,
matmul 4x40x32xf64,37067,,5510,,
matmul 4x40x36xf64,41691,,6165,,
matmul 4x40x40xf64,46309,,6853,,
matmul 4x40x44xf64,50939,,7550,,
matmul 4x40x48xf64,55563,,8197,,
matmul 4x40x4xf64,4643,,736,,
matmul 4x40x52xf64,60187,,8916,,
matmul 4x40x56xf64,64811,,9547,,
matmul 4x40x60xf64,69429,,10235,,
matmul 4x40x64xf64,74053,,10949,,
matmul 4x40x8xf64,9248,,1430,,
matmul 4x44x12xf64,15143,,2293,,
matmul 4x44x16xf64,20262,,3046,,
matmul 4x44x20xf64,25435,,3781,,
matmul 4x44x24xf64,30507,,4517,,
matmul 4x44x28xf64,35579,,5259,,
matmul 4x44x32xf64,40651,,6022,,
matmul 4x44x36xf64,45723,,6741,,
matmul 4x44x40xf64,50795,,7499,,
matmul 4x44x44xf64,55861,,8253,,
matmul 4x44x48xf64,60939,,8965,,
matmul 4x44x4xf64,5091,,800,,
matmul 4x44x52xf64,66011,,9742,,
matmul 4x44x56xf64,71083,,10436,,
matmul 4x44x60xf64,76155,,11189,,
matmul 4x44x64xf64,81227,,11974,,
matmul 4x44x8xf64,10147,,1558,,
matmul 4x48x12xf64,16487,,2485,,
matmul 4x48x16xf64,22054,,3302,,
matmul 4x48x20xf64,27675,,4101,,
matmul 4x48x24xf64,33195,,4901,,
matmul 4x48x28xf64,38709,,5700,,
matmul 4x48x32xf64,44229,,6533,,
matmul 4x48x36xf64,49755,,7317,,
matmul 4x48x40xf64,55275,,8133,,
matmul 4x48x44xf64,60795,,8958,,
matmul 4x48x48xf64,66309,,9739,,
matmul 4x48x4xf64,5539,,864,,
matmul 4x48x52xf64,71835,,10574,,
matmul 4x48x56xf64,77355,,11339,,
matmul 4x48x60xf64,82869,,12155,,
matmul 4x48x64xf64,88389,,12997,,
matmul 4x48x8xf64,11043,,1686,,
matmul 4x4x12xf64,1231,,371,,
matmul 4x4x16xf64,1631,,492,,
matmul 4x4x20xf64,2031,,580,,
matmul 4x4x24xf64,2431,,675,,
matmul 4x4x28xf64,2831,,777,,
matmul 4x4x32xf64,3231,,908,,
matmul 4x4x36xf64,3631,,979,,
matmul 4x4x40xf64,4031,,1092,,
matmul 4x4x44xf64,4431,,1220,,
matmul 4x4x48xf64,4831,,1283,,
matmul 4x4x4xf64,419,,162,,
matmul 4x4x52xf64,5231,,1428,,
matmul 4x4x56xf64,5631,,1481,,
matmul 4x4x60xf64,6031,,1587,,
matmul 4x4x64xf64,6431,,1740,,
matmul 4x4x8xf64,831,,284,,
matmul 4x52x12xf64,17831,,2677,,
matmul 4x52x16xf64,23846,,3558,,
matmul 4x52x20xf64,29915,,4421,,
matmul 4x52x24xf64,35883,,5285,,
matmul 4x52x28xf64,41851,,6148,,
matmul 4x52x32xf64,47819,,7046,,
matmul 4x52x36xf64,53787,,7893,,
matmul 4x52x40xf64,59755,,8773,,
matmul 4x52x44xf64,65723,,9662,,
matmul 4x52x48xf64,71691,,10501,,
matmul 4x52x4xf64,5987,,928,,
matmul 4x52x52xf64,77659,,11406,,
matmul 4x52x56xf64,83627,,12228,,
